dataset,lf_index,coverage,accuracy,precision_positive,recall_positive,f1_positive,precision_negative,recall_negative,f1_negative,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,conflict_rate,positive_bias,n_abstain,n_positive,n_negative,n_labeled,total_samples,true_negatives,false_positives,false_negatives,true_positives
yelp,6,0.09473684210526316,0.7058333333333333,0.6452586206896552,0.8638199653779572,0.7387120651369357,0.815625,0.5591858596679165,0.663489037178265,0.7304418103448276,0.7115029125229368,0.7011005511576003,0.7336125179597702,0.7058333333333333,0.6997005670261474,0.33154152939136466,0.6444444444444445,34400,2320,1280,3600,38000,1044.0,823.0,236.0,1497.0
yelp,7,0.09568421052631579,0.7890539053905391,0.7783665835411472,0.9780650215432825,0.8668633917722617,0.8691588785046729,0.34349030470914127,0.4923891462607544,0.8237627310229101,0.6607776631262119,0.679626269016508,0.8054095030806132,0.7890539053905391,0.7553244457081906,0.21775933609958506,0.8822882288228823,34364,3208,428,3636,38000,372.0,711.0,56.0,2497.0
youtube,0,0.1981020166073547,0.8532934131736527,0.8532934131736527,1.0,0.9208400646203554,0.0,0.0,0.0,0.42664670658682635,0.5,0.4604200323101777,0.728109648965542,0.8532934131736527,0.78574676172695,0.3858615611192931,1.0,1352,334,0,334,1686,,,,
youtube,1,0.1298932384341637,0.9863013698630136,0.9863013698630136,1.0,0.993103448275862,0.0,0.0,0.0,0.4931506849315068,0.5,0.496551724137931,0.9727903921936574,0.9863013698630136,0.9794992914501653,0.3671875,1.0,1467,219,0,219,1686,,,,
youtube,2,0.09134045077105575,0.9415584415584416,0.9415584415584416,1.0,0.9698996655518395,0.0,0.0,0.0,0.4707792207792208,0.5,0.48494983277591974,0.8865322988699612,0.9415584415584416,0.9132172175650437,0.6698113207547169,1.0,1532,154,0,154,1686,,,,
youtube,3,0.1055753262158956,0.9831460674157303,0.9831460674157303,1.0,0.9915014164305949,0.0,0.0,0.0,0.49157303370786515,0.5,0.49575070821529743,0.9665761898750158,0.9831460674157303,0.9747907184008657,0.2740740740740741,1.0,1508,178,0,178,1686,,,,
youtube,4,0.1619217081850534,0.7252747252747253,0.0,0.0,0.0,0.7252747252747253,1.0,0.840764331210191,0.3626373626373626,0.5,0.4203821656050955,0.5260234271223282,0.7252747252747253,0.6097851193392594,0.3857493857493858,0.0,1413,0,273,273,1686,,,,
youtube,5,0.2508896797153025,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43621399176954734,1.0,1263,423,0,423,1686,,,,
youtube,6,0.2508896797153025,0.75177304964539,0.0,0.0,0.0,0.75177304964539,1.0,0.8582995951417004,0.375886524822695,0.5,0.4291497975708502,0.5651627181731301,0.75177304964539,0.6452465041490797,0.3009950248756219,0.0,1263,0,423,423,1686,,,,
youtube,7,0.12336892052194544,0.6730769230769231,0.0,0.0,0.0,0.6730769230769231,1.0,0.8045977011494253,0.33653846153846156,0.5,0.40229885057471265,0.4530325443786983,0.6730769230769231,0.541556145004421,0.3629032258064516,0.0,1478,0,208,208,1686,,,,
